Holiday,CountryFilter,City,Country,Link
December Holidays,Canada,Puerto Vallarta,Mexico,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01btzt#dest_mid=/m/01btzt&tcfs=EhwKCS9tLzAxYnR6dBIPUHVlcnRvIFZhbGxhcnRh"
December Holidays,Canada,San Juan,Puerto Rico,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0fw4v#dest_mid=/m/0fw4v&tcfs=EhQKCC9tLzBmdzR2EghTYW4gSnVhbg"
December Holidays,Canada,Liberia,Costa Rica,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/03cpv3#dest_mid=/m/03cpv3&tcfs=EhQKCS9tLzAzY3B2MxIHTGliZXJpYQ"
December Holidays,Canada,San José,Costa Rica,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01g3b2#dest_mid=/m/01g3b2&tcfs=EhYKCS9tLzAxZzNiMhIJU2FuIEpvc8Op"
December Holidays,United Kingdom,Miami FL,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0f2v0#dest_mid=/m/0f2v0&tcfs=EhEKCC9tLzBmMnYwEgVNaWFtaQ"
December Holidays,United Kingdom,Tenerife,Spain,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/01nqb1#dest_mid=/m/01nqb1&tcfs=EhUKCS9tLzAxbnFiMRIIVGVuZXJpZmU"
December Holidays,United Kingdom,Lanzarote,Spain,"https://www.google.com/travel/guide?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKcp-IIajzf0ORgUvQldluT68nogQ:1563967608322%22,%22lanzarote%22,%22/m/01nqb1%22%5D&tcfs=EhUKCS9tLzAxbnFiMRIIVGVuZXJpZmU&dest_mid=/m/01s8wm#dest_mid=/m/01s8wm&tcfs=EhYKCS9tLzAxczh3bRIJTGFuemFyb3Rl"
December Holidays,United Kingdom,Cape Town,South Africa,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKcp-IIajzf0ORgUvQldluT68nogQ:1563967608322%22,%22lanzarote%22,%22/m/01nqb1%22%5D&tcfs=&dest_mid=/m/01yj2#dest_mid=/m/01yj2&tcfs=EhUKCC9tLzAxeWoyEglDYXBlIFRvd24"
December Holidays,United Kingdom,New York NY,US,https://www.google.com/destination?dest_mid=/m/02_286&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/02_286&dest_src=yts&tcfs=EhUKCS9tLzAyXzI4NhIITmV3IFlvcms
December Holidays,Netherlands,Dubai,UAE,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKcp-IIajzf0ORgUvQldluT68nogQ:1563967608322%22,%22lanzarote%22,%22/m/01nqb1%22%5D&tcfs=&dest_mid=/m/01f08r#dest_mid=/m/01f08r&tcfs=EhIKCS9tLzAxZjA4chIFRHViYWk"
December Holidays,Netherlands,Miami FL,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0f2v0#dest_mid=/m/0f2v0&tcfs=EhEKCC9tLzBmMnYwEgVNaWFtaQ"
December Holidays,Netherlands,Bangkok,Thailand,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIKcp-IIajzf0ORgUvQldluT68nogQ:1563967608322%22,%22lanzarote%22,%22/m/01nqb1%22%5D&tcfs=&dest_mid=/m/0fn2g#dest_mid=/m/0fn2g&tcfs=EhMKCC9tLzBmbjJnEgdCYW5na29r"
