Holiday,CountryFilter,City,Country,Link
December Holidays,Singapore,Tokyo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/07dfk#dest_mid=/m/07dfk&tcfs=EhEKCC9tLzA3ZGZrEgVUb2t5bw"
December Holidays,Singapore,Taipei,Taiwan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0ftkx#dest_mid=/m/0ftkx&tcfs=EhIKCC9tLzBmdGt4EgZUYWlwZWk"
December Holidays,Singapore,Sapporo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0gp5l6#dest_mid=/m/0gp5l6&tcfs=EhQKCS9tLzBncDVsNhIHU2FwcG9ybw"
December Holidays,Singapore,Osaka,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0dqyw#dest_mid=/m/0dqyw&tcfs=EhEKCC9tLzBkcXl3EgVPc2FrYQ"
December Holidays,Japan,Honolulu HI,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/02hrh0_#dest_mid=/m/02hrh0_&tcfs=EhYKCi9tLzAyaHJoMF8SCEhvbm9sdWx1"
December Holidays,Japan,Manila,Philippines,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0195pd#dest_mid=/m/0195pd&tcfs=EhMKCS9tLzAxOTVwZBIGTWFuaWxh"
December Holidays,Japan,Guam,,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/034tl#dest_mid=/m/034tl&tcfs=EhAKCC9tLzAzNHRsEgRHdWFt"
December Holidays,Japan,Bangkok,Thailand,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0fn2g#dest_mid=/m/0fn2g&tcfs=EhMKCC9tLzBmbjJnEgdCYW5na29r"
December Holidays,Japan,Bali,Indonesia,"https://www.google.com/travel/guide?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJJ3CXvXXia6C4x1IwMBD-Y8d3DYg:1563974510064%22,%22bali%22,%22/m/0fn2g%22%5D&tcfs=EhMKCC9tLzBmbjJnEgdCYW5na29r&dest_mid=/m/01bkb#dest_mid=/m/01bkb&tcfs=EhkKCC9tLzAxYmtiEg1CYWxpIFByb3ZpbmNl"
December Holidays,Australia,Bali,Indonesia,"https://www.google.com/travel/guide?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJJ3CXvXXia6C4x1IwMBD-Y8d3DYg:1563974510064%22,%22bali%22,%22/m/0fn2g%22%5D&tcfs=EhMKCC9tLzBmbjJnEgdCYW5na29r&dest_mid=/m/01bkb#dest_mid=/m/01bkb&tcfs=EhkKCC9tLzAxYmtiEg1CYWxpIFByb3ZpbmNl"
December Holidays,Australia,Tokyo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/07dfk#dest_mid=/m/07dfk&tcfs=EhEKCC9tLzA3ZGZrEgVUb2t5bw"
December Holidays,Australia,Singapore,,https://www.google.com/destination?hl=en&gl=us&tcfs=EhkKCC9tLzAxYmtiEg1CYWxpIFByb3ZpbmNl&output=search&dest_mid=/m/06t2t#dest_mid=/m/06t2t&tcfs=EhUKCC9tLzA2dDJ0EglTaW5nYXBvcmU
December Holidays,Australia,Hong Kong,,"https://www.google.com/travel/guide?hl=en&gl=us&tcfs=EhUKCC9tLzA2dDJ0EglTaW5nYXBvcmU&output=search&tra=%5B%22AMAbHILe5FC1d5WUJop7f58HJ27YTyRYJQ:1563974547580%22,%22hong+kong%22,%22/m/06t2t%22%5D&dest_mid=/m/03h64#dest_mid=/m/03h64&tcfs=EhUKCC9tLzAzaDY0EglIb25nIEtvbmc"
December Holidays,Australia,Manila,Philippines,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0195pd#dest_mid=/m/0195pd&tcfs=EhMKCS9tLzAxOTVwZBIGTWFuaWxh"
Lunar New Year,China,Honolulu HI,US,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/02hrh0_#dest_mid=/m/02hrh0_&tcfs=EhYKCi9tLzAyaHJoMF8SCEhvbm9sdWx1"
Lunar New Year,China,Bangkok,Thailand,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0fn2g#dest_mid=/m/0fn2g&tcfs=EhMKCC9tLzBmbjJnEgdCYW5na29r"
Lunar New Year,China,Auckland,New Zealand,"https://www.google.com/destination?hl=en&gl=us&tcfs=&output=search&tra=%5B%22AMAbHILe5FC1d5WUJop7f58HJ27YTyRYJQ:1563974547580%22,%22hong+kong%22,%22/m/06t2t%22%5D&dest_mid=/m/012ts#dest_mid=/m/012ts&tcfs=EhQKCC9tLzAxMnRzEghBdWNrbGFuZA"
Lunar New Year,China,Tokyo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/07dfk#dest_mid=/m/07dfk&tcfs=EhEKCC9tLzA3ZGZrEgVUb2t5bw"
Lunar New Year,China,Singapore,,https://www.google.com/destination?hl=en&gl=us&tcfs=EhkKCC9tLzAxYmtiEg1CYWxpIFByb3ZpbmNl&output=search&dest_mid=/m/06t2t#dest_mid=/m/06t2t&tcfs=EhUKCC9tLzA2dDJ0EglTaW5nYXBvcmU
Lunar New Year,Taiwan,Tokyo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/07dfk#dest_mid=/m/07dfk&tcfs=EhEKCC9tLzA3ZGZrEgVUb2t5bw"
Lunar New Year,Taiwan,Sapporo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0gp5l6#dest_mid=/m/0gp5l6&tcfs=EhQKCS9tLzBncDVsNhIHU2FwcG9ybw"
Lunar New Year,Taiwan,Osaka,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0dqyw#dest_mid=/m/0dqyw&tcfs=EhEKCC9tLzBkcXl3EgVPc2FrYQ"
Lunar New Year,Taiwan,Okinawa,Japan,"https://www.google.com/destination?hl=en&gl=us&tcfs=&output=search&tra=%5B%22AMAbHILe5FC1d5WUJop7f58HJ27YTyRYJQ:1563974547580%22,%22hong+kong%22,%22/m/06t2t%22%5D&dest_mid=/m/0gp71x#dest_mid=/m/0gp71x&tcfs=EhQKCS9tLzBncDcxeBIHT2tpbmF3YQ"
Lunar New Year,Taiwan,Seoul,South Korea,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0hsqf#dest_mid=/m/0hsqf&tcfs=EhEKCC9tLzBoc3FmEgVTZW91bA"
Lunar New Year,Singapore,Sapporo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0gp5l6#dest_mid=/m/0gp5l6&tcfs=EhQKCS9tLzBncDVsNhIHU2FwcG9ybw"
Lunar New Year,Singapore,Seoul,South Korea,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0hsqf#dest_mid=/m/0hsqf&tcfs=EhEKCC9tLzBoc3FmEgVTZW91bA"
Lunar New Year,Singapore,Tokyo,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/07dfk#dest_mid=/m/07dfk&tcfs=EhEKCC9tLzA3ZGZrEgVUb2t5bw"
Lunar New Year,Singapore,Taipei,Taiwan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0ftkx#dest_mid=/m/0ftkx&tcfs=EhIKCC9tLzBmdGt4EgZUYWlwZWk"
Lunar New Year,Singapore,Osaka,Japan,"https://www.google.com/destination?hl=en&gl=us&output=search&tra=%5B%22AMAbHIJtir6Fq-EnLw5Y-YA2YXAhRe7exw:1563965917600%22,%22St+lucia%22,%22/m/0j11%22%5D&tcfs=&dest_mid=/m/0dqyw#dest_mid=/m/0dqyw&tcfs=EhEKCC9tLzBkcXl3EgVPc2FrYQ"
